id,name,category,address,latitude,longitude,fetched_at
661,John Henderson Annex,Public School,801 E 54th Av,49.22104214306744,-123.08804322,2026-06-07T23:58:02.389447
662,Lord Tennyson Elementary,Public School,1936 W 10th Av,49.262518934067664,-123.14937705,2026-06-07T23:58:02.389447
663,Norma Rose Point School,Public School,4102 W 16th Av,49.257791772067634,-123.20112784000001,2026-06-07T23:58:02.389447
664,Stratford Hall,Independent School,3000 Commercial Drive,49.257469215545306,-123.06946327228026,2026-06-07T23:58:02.389447
665,Vancouver Alternate,Public School,1580 W Broadway,49.26329988232251,-123.14026052001878,2026-06-07T23:58:02.389447
666,Dr George M Weir Elementary,Public School,2900 E 44th Av,49.22957875906749,-123.04440254,2026-06-07T23:58:02.389447
667,Hastings Community Elementary,Public School,2625 Franklin St,49.28261095988815,-123.05057740868249,2026-06-07T23:58:02.389447
668,Mount Pleasant Elementary,Public School,2300 Guelph St,49.26396573206767,-123.09399954,2026-06-07T23:58:02.389447
669,Royal Canadian College,Independent School,8610 Ash St,49.20724201501598,-123.11860774594169,2026-06-07T23:58:02.389447
670,Sir James Douglas Annex,Public School,7668 Borden St,49.214830464067425,-123.07329351,2026-06-07T23:58:02.389447
671,Sir Sandford Fleming Elementary,Public School,1401 E 49th Av,49.22574768906748,-123.07657409,2026-06-07T23:58:02.389447
672,Sir Wilfred Grenfell Community,Public School,3323 Wellington Av,49.242891620676865,-123.0348073745407,2026-06-07T23:58:02.389447
673,West Point Grey Academy,Independent School,4125 W 8th Av,49.26706634514379,-123.20150739365414,2026-06-07T23:58:02.389447
674,BC Childrens Hosp School Program,Public School,5025 Willow St,49.23963096106753,-123.12579095999999,2026-06-07T23:58:02.389447
675,Charles Dickens Elementary,Public School,1010 E 17th Av,49.254854500002445,-123.08239063270196,2026-06-07T23:58:02.389447
676,Collingwood StrongStart Centre,StrongStart BC,3417 Euclid Av,49.23634859906753,-123.032313,2026-06-07T23:58:02.389447
677,Columbia College,Independent School,438 Terminal Av,49.27155962112064,-123.09507768504591,2026-06-07T23:58:02.389447
678,Dr R E McKechnie Elementary,Public School,7455 Maple St,49.21770658906743,-123.15401133,2026-06-07T23:58:02.389447
679,False Creek Elementary,Public School,900 School Green,49.26710311106769,-123.12685921,2026-06-07T23:58:02.389447
680,Garibaldi Annex,Public School,1025 Slocan St,49.27541639106772,-123.05026876999999,2026-06-07T23:58:02.389447
681,General Gordon Elementary,Public School,2896 W 6th Av,49.26597990206767,-123.17067418,2026-06-07T23:58:02.389447
682,Immaculate Conception School,Independent School,3745 W 28th Av,49.24759061248421,-123.18770751925071,2026-06-07T23:58:02.389447
683,J.W. Sexsmith Community Elementary,Public School,7455 Ontario St,49.21726779206743,-123.10879442,2026-06-07T23:58:02.389447
684,John Oliver Secondary,Public School,530 E 41st Av,49.23195715006752,-123.09279776,2026-06-07T23:58:02.389447
685,Lord Byng Secondary,Public School,3939 W 16th Av,49.259566550086106,-123.1925309529982,2026-06-07T23:58:02.389447
686,Lord Nelson Elementary,Public School,2235 Kitchener St,49.27250773706771,-123.05971209,2026-06-07T23:58:02.389447
687,Lord Selkirk StrongStart Centre,StrongStart BC,1750 E 22nd Av,49.249691952067586,-123.06900705,2026-06-07T23:58:02.389447
688,Pacific Torah Institute International,Independent School,5750 Oak St,49.23342156632536,-123.12761225509908,2026-06-07T23:58:02.389447
689,Prov. Early Intervention Resource Prg,Public School,3417 Euclid Av,49.23634859906753,-123.032313,2026-06-07T23:58:02.389447
690,Queen Alexandra StrongStart Centre,StrongStart BC,1300 E Broadway,49.261970549067655,-123.07592057,2026-06-07T23:58:02.389447
691,Queen Mary Elementary,Public School,2000 Trimble St,49.26785642206768,-123.20479699,2026-06-07T23:58:02.389447
692,Sir John Franklin Community,Public School,250S Skeena St,49.28249619606777,-123.02758566,2026-06-07T23:58:02.389447
693,St George's School,Independent School,4175 W 29th Av,49.24758226745896,-123.19846496388473,2026-06-07T23:58:02.389447
694,St Joseph's,Independent School,3261 Fleming St,49.255914408245054,-123.0716470523458,2026-06-07T23:58:02.389447
695,St Jude's,Independent School,2953 E 15th Av,49.256545786691255,-123.04262672835044,2026-06-07T23:58:02.389447
696,Templeton Secondary,Public School,727 Templeton Drive,49.278439093067725,-123.06069106000001,2026-06-07T23:58:02.389447
697,Vancouver Technical Secondary,Public School,2600 E Broadway,49.260755475067654,-123.05129983999998,2026-06-07T23:58:02.389447
698,Westside Montessori,Independent School,4157 Oak St,49.24857412675284,-123.1280001050362,2026-06-07T23:58:02.389447
699,SD 39 DL Elementary,Public School,1025 Slocan St,49.27541639106772,-123.05026876999999,2026-06-07T23:58:02.389447
700,Champlain Heights Annex StrongStart Cntr,StrongStart BC,7835 Champlain Crescent,49.2140784317513,-123.03054968939806,2026-06-07T23:58:02.389447
701,BCCH Eating Disorders School Program,Public School,5025 Willow St,49.23963096106753,-123.12579095999999,2026-06-07T23:58:02.389447
702,Century High School,Independent School,1788 W Broadway,49.263384758081116,-123.14531440269688,2026-06-07T23:58:02.389447
703,Florence Nightingale Elementary,Public School,2740 Guelph St,49.260059324067655,-123.09371757,2026-06-07T23:58:02.389447
704,General Wolfe Elementary,Public School,4251 Ontario St,49.247228706067595,-123.10596494,2026-06-07T23:58:02.389447
705,Lord Strathcona Community Elementary,Public School,592 E Pender St,49.27981151466552,-123.09147679242075,2026-06-07T23:58:02.389447
706,Maple Grove Elementary,Public School,6199 Cypress St,49.22940869906749,-123.15151486,2026-06-07T23:58:02.389447
707,Pacific Torah Institute,Independent School,5750 Oak St,49.23342156632536,-123.12761225509908,2026-06-07T23:58:02.389447
708,Sir Richard McBride Annex,Public School,4750 St. Catherines St,49.241944229212045,-123.08495018892324,2026-06-07T23:58:02.389447
709,Tillicum Annex StrongStart Centre,StrongStart BC,2450 Cambridge St,49.28626345506777,-123.05559853,2026-06-07T23:58:02.389447
710,Vancouver Learning Network,Public School,530 E 41st Av,49.23195715006752,-123.09279776,2026-06-07T23:58:02.389447
711,BC Children's Adol. Psych. Unit,Public School,5025 Willow St,49.23963096106753,-123.12579095999999,2026-06-07T23:58:02.389447
712,Britannia Community Secondary,Public School,1001 Cotton Drive,49.27523599085204,-123.07192309841,2026-06-07T23:58:02.389447
713,Captain James Cook Elementary,Public School,3340 E 54th Av,49.219380799067466,-123.03582905,2026-06-07T23:58:02.389447
714,Chief Maquinna StrongStart Centre,StrongStart BC,2684 E 2nd Av,49.26788631306769,-123.05058984,2026-06-07T23:58:02.389447
715,Children's Hearing and Speech Centre BC,Independent School,3575 Kaslo St,49.25235796846878,-123.0483494372457,2026-06-07T23:58:02.389447
716,Collingwood Neighbourhood School,Public School,3417 Euclid Av,49.23634859906753,-123.032313,2026-06-07T23:58:02.389447
717,Elsie Roy Elementary,Public School,150 Drake St,49.27223799906772,-123.122482,2026-06-07T23:58:02.389447
718,Graham Bruce Community Elementary,Public School,3633 Tanner St,49.24206908706756,-123.02567271,2026-06-07T23:58:02.389447
719,Henry Hudson Elementary,Public School,1551 Cypress St,49.2722458780677,-123.14935629,2026-06-07T23:58:02.389447
720,Ivy Montessori School,Independent School,2490 W 37th Av,49.238114800850234,-123.16209828723368,2026-06-07T23:58:02.389447
721,John Henderson Elementary,Public School,451 E 53rd Av,49.222569588067465,-123.09527169,2026-06-07T23:58:02.389447
722,John Norquay Elementary,Public School,4710 Slocan St,49.24142469506758,-123.0516408,2026-06-07T23:58:02.389447
723,King David High School,Independent School,5718 Willow St,49.23344818232933,-123.1227909397854,2026-06-07T23:58:02.389447
724,Little Flower Academy,Independent School,4195 Alexandra St,49.24843134181949,-123.14226149913934,2026-06-07T23:58:02.389447
725,Lord Roberts Annex,Public School,1150 Nelson St,49.283091710067765,-123.12980600999998,2026-06-07T23:58:02.389447
726,Our Lady of Perpetual Help,Independent School,2550 Camosun St,49.264135070670505,-123.19617943097614,2026-06-07T23:58:02.389447
727,Pacific Rim Montessori Academy,Independent School,1819 Larch St,49.269785798267485,-123.16244364510744,2026-06-07T23:58:02.389447
728,Sir Alexander Mackenzie Elementary,Public School,960 E 39th Av,49.23453643506752,-123.08671432,2026-06-07T23:58:02.389447
729,Sir Guy Carleton Community Elementary,Public School,3250 Kingsway,49.234347746067506,-123.03760798,2026-06-07T23:58:02.389447
730,Sir Richard McBride Elementary,Public School,1300 E 29th Av,49.244156609067566,-123.07817551,2026-06-07T23:58:02.389447
731,Sir William Macdonald Community,Public School,1950 E Hastings St,49.280723909067746,-123.06467911,2026-06-07T23:58:02.389447
732,Sir Winston Churchill Secondary,Public School,7055 Heather St,49.22105956806746,-123.12561546,2026-06-07T23:58:02.389447
733,Sunny Hill Hospital Program,Public School,3155 E 27th Av,49.246512456067585,-123.0371743,2026-06-07T23:58:02.389447
734,Vancouver Christian,Independent School,3496 Mons Drive,49.25471221591419,-123.02856693112142,2026-06-07T23:58:02.389447
735,Vancouver Montessori School,Independent School,8650 Barnard St,49.20779039590787,-123.14463359946043,2026-06-07T23:58:02.389447
736,Champlain Heights Community Elementary,Public School,6955 Frontenac St,49.22064030106746,-123.02774835,2026-06-07T23:58:02.389447
737,Continuing Ed SD 39,Public School,1580 W Broadway,49.26329988232251,-123.14026052001878,2026-06-07T23:58:02.389447
738,Corpus Christi School,Independent School,6344 Nanaimo St,49.226406104158166,-123.05758354036608,2026-06-07T23:58:02.389447
739,David Lloyd George Elementary,Public School,8370 Cartier St,49.209962411067416,-123.13634890999998,2026-06-07T23:58:02.389447
740,David Oppenheimer Elementary,Public School,2421 Scarboro Av,49.21331811031946,-123.05829331021336,2026-06-07T23:58:02.389447
741,Eric Hamber Secondary,Public School,5025 Willow St,49.23963096106753,-123.12579095999999,2026-06-07T23:58:02.389447
742,Florence Nightingale StrongStart Centre,StrongStart BC,2740 Guelph St,49.260059324067655,-123.09371757,2026-06-07T23:58:02.389447
743,Gladstone Secondary,Public School,4105 Gladstone St,49.24761203506759,-123.06163307000001,2026-06-07T23:58:02.389447
744,Kerrisdale Annex,Public School,3250 W 43rd Av,49.232867999067516,-123.177405,2026-06-07T23:58:02.389447
745,L'Ecole Bilingue Elementary,Public School,1166 W 14th Av,49.25808403306762,-123.13038640000002,2026-06-07T23:58:02.389447
746,Lord Nelson StrongStart Centre,StrongStart BC,2235 Kitchener St,49.27250773706771,-123.05971209,2026-06-07T23:58:02.389447
747,Nootka Community Elementary,Public School,3375 Nootka St,49.25359297006762,-123.04294917,2026-06-07T23:58:02.389447
748,Notre Dame Regional Secondary,Independent School,2880 Venables St,49.275802839348714,-123.04556662808874,2026-06-07T23:58:02.389447
749,Our Lady of Sorrows,Independent School,575 Slocan St,49.27957121602082,-123.05015370472844,2026-06-07T23:58:02.389447
750,Queen Elizabeth Annex,Public School,4275 Crown St,49.24893677906758,-123.19469107,2026-06-07T23:58:02.389447
751,Sir Matthew Begbie Elementary,Public School,1430 Lillooet St,49.27183079984159,-123.03801003712412,2026-06-07T23:58:02.389447
752,Sir Wilfrid Laurier Annex,Public School,590 W 65th Av,49.210717995067405,-123.11944529999998,2026-06-07T23:58:02.389447
753,Sir William Osler Elementary,Public School,5970 Selkirk St,49.23076242206749,-123.13266216000001,2026-06-07T23:58:02.389447
754,Southlands Elementary,Public School,5351 Camosun St,49.23813758506754,-123.19781516,2026-06-07T23:58:02.389447
755,St Augustine's,Independent School,2145 W 8th Av,49.26517255153582,-123.15355224259545,2026-06-07T23:58:02.389447
756,Walter Moberly StrongStart Centre,StrongStart BC,1000 E 59th Av,49.216109230067424,-123.08434542,2026-06-07T23:58:02.389447
