id,name,neighbourhood,facilities,latitude,longitude,fetched_at
764,,,[],49.240089859212226,-123.02438477963906,2026-06-07T23:58:00.136259
765,,,[],49.28172724973046,-123.10457868859574,2026-06-07T23:58:00.136259
766,,,[],49.28253976755154,-123.05817844628112,2026-06-07T23:58:00.136259
767,,,[],49.2475621485337,-123.04401989145983,2026-06-07T23:58:00.136259
768,,,[],49.277656778028046,-123.14799842853687,2026-06-07T23:58:00.136259
769,,,[],49.23095997369294,-123.08521973381485,2026-06-07T23:58:00.136259
770,,,[],49.25696857856663,-123.09881719092758,2026-06-07T23:58:00.136259
771,,,[],49.27616607590208,-123.14324752506616,2026-06-07T23:58:00.136259
772,,,[],49.28629328970966,-123.06216456554532,2026-06-07T23:58:00.136259
773,,,[],49.21542781010128,-123.03230520072317,2026-06-07T23:58:00.136259
774,,,[],49.21848783014162,-123.03389671007776,2026-06-07T23:58:00.136259
775,,,[],49.21583205408907,-123.03872520223298,2026-06-07T23:58:00.136259
776,,,[],49.21502497432028,-123.05759844924667,2026-06-07T23:58:00.136259
777,,,[],49.238439513438855,-123.07535586624105,2026-06-07T23:58:00.136259
778,,,[],49.216657150136875,-123.15516209357506,2026-06-07T23:58:00.136259
779,,,[],49.223726933969985,-123.16018804653422,2026-06-07T23:58:00.136259
780,,,[],49.266162911702274,-123.15182516699572,2026-06-07T23:58:00.136259
781,,,[],49.247616643447344,-123.16991724163367,2026-06-07T23:58:00.136259
782,,,[],49.27161087277748,-123.16924653676,2026-06-07T23:58:00.136259
783,,,[],49.2724802002414,-123.1293684657918,2026-06-07T23:58:00.136259
784,,,[],49.273330142974146,-123.07411699471568,2026-06-07T23:58:00.136259
785,,,[],49.29007414526977,-123.12495921839769,2026-06-07T23:58:00.136259
786,,,[],49.24501831172257,-123.13359436584602,2026-06-07T23:58:00.136259
787,,,[],49.23152083317967,-123.11203567144788,2026-06-07T23:58:00.136259
788,,,[],49.215512329007936,-123.12848039859284,2026-06-07T23:58:00.136259
